B11,B12,Clay_CMR,Elevation,Iron_Oxide,Label,NDSI,NDVI,NDWI,Site
1677.0,1447.0,1.1589495507947478,4205,1.1406467584712983,1,-0.0007957032066769898,-0.013611989095807076,-0.034363433718681335,"Salar de Aguas Calientes, Chile"
3445.0,3336.4615384615386,1.0325310093604463,4212,2.1236877624475103,1,-0.2446652352809906,0.07334789633750916,-0.2710036039352417,"Salar de Quisquiro, Chile"
3119.6666666666665,1886.8333333333335,1.6533875099372846,4317,1.5752860757581482,1,-0.055677127093076706,0.03948049992322922,-0.14821399748325348,"Salar de Tara Proxy, Chile"
7205.125,6759.777777777777,1.065881932344916,615,2.3445929512691253,0,-0.3669207990169525,0.07541080564260483,-0.2753753662109375,Sahara Desert
3089.6470588235293,3020.8125,1.022786769726201,1194,1.7367810811402071,0,-0.31429359316825867,0.062281206250190735,-0.186540424823761,Gobi Desert
2317.2,2177.4,1.06420501515569,1829,1.4185219362294947,0,-0.12246465682983398,0.03346732631325722,-0.12966863811016083,Atacama Control
3321.4444444444443,3142.5714285714284,1.0569193158974048,576,2.9595799932256974,0,-0.61374431848526,0.17932550609111786,-0.47190114855766296,Australian Outback
809.1111111111111,743.75,1.0878804855275443,747,1.271809333212044,0,0.24282874166965485,-0.25124815106391907,0.27171167731285095,Grand Canyon
1106.125,1326.5,0.8338673200150772,7583,1.3061848256023014,0,0.2141556739807129,0.005135227460414171,-0.03555304557085037,Mount Everest
2261.0,1358.5,1.6643356643356644,1016,1.456242707117853,0,-0.5433447360992432,0.596834123134613,-0.5739532113075256,"Mount Vesuvius, ITA"
5233.5,4575.75,1.1437469267333225,110,3.9079706927175843,0,-0.6635410189628601,0.1413692981004715,-0.5189729332923889,"Simpson Desert, AUS"
3704.1666666666665,3056.875,1.2117494718189872,1074,1.9567955997161108,0,-0.5242961645126343,0.27242639660835266,-0.4088972210884094,Kalahari Desert
4056.0,3543.6666666666665,1.1445771799454427,858,1.6484184914841848,0,-0.31304630637168884,0.10175671428442001,-0.22071245312690735,Mojave Desert
6212.428571428572,6115.75,1.0158081300623099,725,2.563612820843915,0,-0.3999776542186737,0.07353787124156952,-0.27989962697029114,Arabian Desert
4785.727272727273,4369.0,1.0953827586924405,1216,1.5818293343658951,0,-0.3191130757331848,0.1113269031047821,-0.22170686721801758,Chihuahuan Desert
4439.583333333334,4259.75,1.042216875012227,480,2.6664190538093693,0,-0.4074491560459137,0.081704281270504,-0.31949666142463684,Namib Desert
2587.0,1762.0,1.4682179341657207,53,1.2208672086720866,0,-0.4436383843421936,0.5499500632286072,-0.5136585235595703,Amazon Rainforest
1508.0,639.0,2.359937402190923,471,0.9116465863453815,0,-0.5774058699607849,0.8563745617866516,-0.7579388618469238,Congo Rainforest
791.0,627.0,1.2615629984051038,306,0.9321212121212121,0,-0.019329896196722984,0.43950438499450684,-0.4437134563922882,Siberian Taiga
2497.5,1593.0,1.5677966101694916,7,1.5543199315654406,0,-0.44176650047302246,0.5718661546707153,-0.5504938960075378,"Everglades Swamp, USA"
270.0,253.0,1.0671936758893281,0,0.6168478260869565,0,0.023508137091994286,0.09561753273010254,0.01433691754937172,Great Barrier Reef
788.6666666666666,464.25,1.6987973433853885,2566,1.4844606946983547,0,-0.3944305181503296,0.6445870995521545,-0.608906626701355,Yellowstone Geysers
1775.9032258064517,1071.1333333333334,1.657966539310187,11,1.4061644801805613,0,-0.4419340193271637,0.7144113779067993,-0.6240060925483704,Nile Delta
1747.4285714285713,915.6666666666666,1.908367569816423,2051,1.5014179608372724,0,-0.6049977540969849,0.7530238628387451,-0.7189689874649048,Himalayan Peak
762.5,739.5,1.0311020960108181,2798,1.0456819664998913,0,0.5100401639938354,0.134809210896492,-0.1458428055047989,Rocky Mountains
2582.181818181818,2498.5,1.033492822966507,3850,1.8231008240704554,0,-0.22581960260868073,0.06548519432544708,-0.22783786058425903,Andes Mountains
445.5,303.5,1.4678747940691927,5,1.2129963898916967,0,-0.31804734468460083,0.5237420201301575,-0.3997395932674408,London
